id_cliente,cancelacion,genero,adulto_mayor,pareja,dependientes,meses_antiguedad,servicio_telefonico,multiples_lineas,servicio_internet,seguridad_en_linea,respaldo_en_linea,proteccion_dispositivo,soporte_tecnico,tv_streaming,peliculas_streaming,tipo_contrato,factura_digital,metodo_pago,cargos_mensuales,cargos_totales,cancelacion_binaria,cargos_diarios,total_servicios,etiqueta_adulto_mayor
3014-WJKSM,No,Masculino,0,Si,No,29,Si,No,Fibra optica,No,No,Si,No,No,No,Mes a mes,Si,Tarjeta de credito automatica,75.3,2263.4,0,2.51,3,No
3016-KSVCP,No,Masculino,0,Si,No,29,No,Sin servicio telefonico,DSL,No,No,No,No,Si,No,Mes a mes,No,Cheque enviado por correo,33.75,1009.25,0,1.125,2,No
3018-TFTSU,Si,Masculino,0,No,No,12,Si,No,Fibra optica,Si,No,Si,No,No,No,Mes a mes,No,Transferencia bancaria automatica,81.7,858.6,1,2.7233333333333336,4,No
3021-VLNRJ,No,Femenino,0,No,Si,50,Si,No,DSL,Si,No,Si,Si,Si,No,Un ano,Si,Tarjeta de credito automatica,70.8,3478.15,0,2.36,6,No
3022-BEXHZ,No,Masculino,0,Si,Si,67,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Dos anos,Si,Transferencia bancaria automatica,111.2,7530.8,0,3.7066666666666666,8,No
3023-GFLBR,Si,Femenino,0,Si,Si,33,Si,Si,Fibra optica,No,No,No,No,No,Si,Mes a mes,No,Tarjeta de credito automatica,86.15,2745.7,1,2.871666666666667,4,No
3026-ATZYV,No,Femenino,0,Si,Si,37,Si,No,DSL,Si,Si,No,No,Si,Si,Un ano,No,Transferencia bancaria automatica,75.1,2658.8,0,2.503333333333333,6,No
3027-YNWZU,No,Femenino,0,Si,No,64,Si,Si,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Tarjeta de credito automatica,25.0,1584.8,0,0.8333333333333334,2,No
3027-ZTDHO,Si,Masculino,0,No,No,1,Si,No,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electronico,89.9,89.9,1,2.996666666666667,4,No
3030-YDNRM,No,Masculino,0,No,No,8,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque electronico,74.85,572.45,0,2.4949999999999997,3,No
3030-YZADT,Si,Masculino,0,No,No,9,Si,No,DSL,No,No,No,No,No,No,Mes a mes,No,Cheque enviado por correo,44.95,431.0,1,1.4983333333333335,2,No
3030-ZKIWL,No,Masculino,0,No,No,1,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Cheque enviado por correo,20.05,20.05,0,0.6683333333333333,1,No
3034-ZBEQN,Si,Femenino,0,Si,No,48,No,Sin servicio telefonico,DSL,No,Si,Si,No,No,No,Un ano,No,Cheque enviado por correo,34.7,1604.5,1,1.1566666666666667,3,No
3038-PQIUY,No,Femenino,0,No,No,38,Si,Si,DSL,Si,Si,Si,No,No,No,Mes a mes,Si,Transferencia bancaria automatica,66.15,2522.4,0,2.205,6,No
3039-MJSLN,No,Masculino,0,No,Si,3,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Transferencia bancaria automatica,20.2,50.6,0,0.6733333333333333,1,No
3043-SUDUA,No,Femenino,0,No,No,32,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Transferencia bancaria automatica,19.9,601.55,0,0.6633333333333333,1,No
3043-TYBNO,No,Masculino,0,No,No,3,Si,No,DSL,No,No,No,Si,No,Si,Mes a mes,No,Cheque enviado por correo,60.65,196.9,0,2.0216666666666665,4,No
3045-XETSH,Si,Femenino,0,No,No,10,Si,Si,Fibra optica,No,Si,Si,No,No,Si,Mes a mes,Si,Cheque electronico,94.85,953.45,1,3.1616666666666666,6,No
3049-NDXFL,Si,Femenino,0,No,No,1,Si,Si,Fibra optica,No,No,No,No,No,Si,Mes a mes,No,Cheque enviado por correo,85.8,85.8,1,2.86,4,No
3049-SOLAY,Si,Femenino,0,Si,No,3,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electronico,95.2,292.85,1,3.1733333333333333,5,No
3050-GBUSH,No,Femenino,0,No,No,3,No,Sin servicio telefonico,DSL,No,No,No,No,Si,No,Mes a mes,Si,Tarjeta de credito automatica,34.8,113.95,0,1.16,2,No
3050-RLLXC,No,Femenino,0,Si,Si,56,Si,Si,DSL,Si,Si,Si,Si,Si,No,Dos anos,No,Tarjeta de credito automatica,81.25,4620.4,0,2.7083333333333335,8,No
3055-MJDSB,No,Masculino,0,No,No,9,No,Sin servicio telefonico,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque enviado por correo,24.6,190.1,0,0.8200000000000001,1,No
3055-OYMSE,No,Femenino,1,No,No,53,Si,No,Fibra optica,No,Si,No,No,No,No,Mes a mes,Si,Tarjeta de credito automatica,73.8,4003.85,0,2.46,3,Si
3055-VTCGS,No,Femenino,0,No,No,63,Si,No,DSL,No,No,Si,No,No,Si,Un ano,No,Tarjeta de credito automatica,58.55,3503.5,0,1.9516666666666667,4,No
3057-VJJQE,No,Masculino,0,No,No,35,Si,Si,DSL,Si,No,No,No,No,No,Dos anos,No,Cheque enviado por correo,55.25,1924.1,0,1.8416666666666666,4,No
3058-HJCUY,Si,Masculino,0,Si,Si,41,Si,Si,Fibra optica,No,No,Si,Si,Si,Si,Un ano,Si,Cheque electronico,102.6,4213.35,1,3.42,7,No
3058-WQDRE,No,Masculino,0,No,No,13,No,Sin servicio telefonico,DSL,No,No,No,No,No,No,Mes a mes,Si,Transferencia bancaria automatica,25.15,331.85,0,0.8383333333333333,1,No
3059-NGMXB,No,Masculino,0,Si,Si,14,Si,Si,DSL,Si,Si,No,No,No,Si,Mes a mes,No,Cheque enviado por correo,69.2,944.65,0,2.3066666666666666,6,No
3061-BCKYI,No,Masculino,0,No,No,14,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Cheque enviado por correo,19.9,283.75,0,0.6633333333333333,1,No
3062-ICYZQ,No,Femenino,0,Si,Si,51,Si,Si,Fibra optica,Si,Si,No,No,No,Si,Mes a mes,Si,Cheque electronico,93.8,4539.35,0,3.1266666666666665,6,No
3063-QFSZL,Si,Femenino,0,No,No,1,Si,No,DSL,No,No,No,No,No,Si,Mes a mes,Si,Cheque electronico,55.4,55.4,1,1.8466666666666667,3,No
3066-RRJIO,Si,Femenino,0,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque enviado por correo,69.95,69.95,1,2.3316666666666666,2,No
3067-SVMTC,No,Femenino,0,Si,No,68,Si,No,DSL,Si,No,No,Si,No,No,Un ano,No,Transferencia bancaria automatica,55.9,3848.8,0,1.8633333333333333,4,No
3068-OMWZA,Si,Masculino,1,No,No,1,Si,Si,Fibra optica,No,No,Si,No,Si,No,Mes a mes,Si,Cheque electronico,88.8,88.8,1,2.96,5,Si
3069-SSVSN,No,Femenino,0,No,No,1,No,Sin servicio telefonico,DSL,No,No,No,No,No,No,Un ano,No,Cheque enviado por correo,25.85,25.85,0,0.8616666666666667,1,No
3070-BDOQC,No,Femenino,0,No,No,60,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Dos anos,Si,Cheque electronico,99.65,5941.05,0,3.3216666666666668,6,No
3070-DVEYC,Si,Masculino,1,No,No,7,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,No,Cheque enviado por correo,73.75,545.15,1,2.4583333333333335,3,Si
3070-FNFZQ,No,Femenino,0,Si,Si,23,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Transferencia bancaria automatica,20.4,478.75,0,0.6799999999999999,1,No
3071-MVJCD,No,Masculino,0,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,No,Dos anos,No,Transferencia bancaria automatica,82.3,5815.15,0,2.743333333333333,8,No
3071-VBYPO,No,Masculino,0,Si,Si,3,Si,No,Fibra optica,Si,Si,No,No,Si,No,Mes a mes,No,Cheque electronico,89.85,248.4,0,2.9949999999999997,5,No
3074-GQWYX,Si,Masculino,0,No,No,5,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Transferencia bancaria automatica,75.9,357.75,1,2.5300000000000002,3,No
3077-RSNTJ,No,Femenino,0,Si,Si,6,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Cheque enviado por correo,19.7,113.5,0,0.6566666666666666,1,No
3078-ZKNTS,No,Femenino,0,Si,Si,13,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,Si,Transferencia bancaria automatica,19.75,246.7,0,0.6583333333333333,1,No
3079-BCHLN,No,Masculino,0,Si,No,47,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,No,Transferencia bancaria automatica,19.9,942.95,0,0.6633333333333333,1,No
3082-VQXNH,No,Masculino,0,Si,No,3,No,Sin servicio telefonico,DSL,No,Si,No,No,No,No,Mes a mes,No,Tarjeta de credito automatica,29.8,94.4,0,0.9933333333333334,2,No
3082-WQRVY,No,Masculino,1,Si,No,14,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,No,Cheque enviado por correo,19.65,228.65,0,0.6549999999999999,1,Si
3082-YVEKW,No,Femenino,0,Si,Si,23,Si,Si,DSL,Si,No,Si,Si,Si,No,Dos anos,Si,Transferencia bancaria automatica,77.15,1759.4,0,2.5716666666666668,7,No
3084-DOWLE,No,Femenino,0,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos anos,No,Transferencia bancaria automatica,92.0,6474.4,0,3.066666666666667,9,No
3085-QUOZK,Si,Femenino,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mes a mes,No,Cheque enviado por correo,43.95,43.95,1,1.465,2,No
3086-RUCRN,No,Femenino,0,No,No,66,Si,Si,Fibra optica,Si,Si,Si,Si,No,Si,Mes a mes,Si,Transferencia bancaria automatica,103.1,6595.0,0,3.4366666666666665,8,No
3088-FVYWK,No,Masculino,0,Si,Si,53,Si,Si,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Tarjeta de credito automatica,25.55,1336.1,0,0.8516666666666667,2,No
3088-LHEFH,No,Femenino,0,No,No,11,Si,Si,Fibra optica,Si,No,No,No,No,No,Mes a mes,Si,Transferencia bancaria automatica,79.0,929.3,0,2.6333333333333333,4,No
3090-HAWSU,Si,Masculino,0,No,No,61,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Dos anos,Si,Tarjeta de credito automatica,111.6,6876.05,1,3.7199999999999998,8,No
3090-LETTY,No,Masculino,0,No,Si,2,Si,Si,DSL,Si,Si,No,No,No,No,Mes a mes,No,Transferencia bancaria automatica,60.95,134.6,0,2.0316666666666667,5,No
3090-QFUVD,No,Femenino,0,No,No,1,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Tarjeta de credito automatica,20.3,20.3,0,0.6766666666666666,1,No
3091-FYHKI,Si,Masculino,0,No,No,1,No,Sin servicio telefonico,DSL,No,No,No,No,No,Si,Mes a mes,Si,Cheque electronico,35.45,35.45,1,1.1816666666666669,2,No
3092-IGHWF,Si,Masculino,0,Si,Si,67,Si,Si,Fibra optica,No,Si,Si,No,No,No,Un ano,No,Cheque electronico,87.4,5918.8,1,2.9133333333333336,5,No
3094-JOJAI,No,Masculino,0,No,No,18,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,No,Cheque enviado por correo,74.15,1387.0,0,2.4716666666666667,3,No
3096-GKWEB,No,Masculino,0,Si,No,18,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electronico,94.75,1691.9,0,3.158333333333333,5,No
3096-IZETN,Si,Femenino,0,No,No,12,Si,No,Fibra optica,No,No,No,No,No,Si,Mes a mes,No,Transferencia bancaria automatica,78.1,947.3,1,2.603333333333333,3,No
3096-JRDSO,Si,Femenino,1,Si,No,27,Si,Si,Fibra optica,Si,No,No,Si,Si,Si,Mes a mes,Si,Transferencia bancaria automatica,104.3,2867.75,1,3.4766666666666666,7,Si
3096-WPXBT,No,Femenino,0,Si,Si,61,Si,Si,Fibra optica,Si,Si,Si,No,No,Si,Un ano,Si,Tarjeta de credito automatica,100.7,6018.65,0,3.356666666666667,7,No
3096-YXENJ,No,Femenino,0,Si,No,65,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Dos anos,Si,Transferencia bancaria automatica,107.65,7082.85,0,3.5883333333333334,8,No
3097-FQTVJ,No,Femenino,0,No,No,41,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Cheque enviado por correo,20.0,810.3,0,0.6666666666666666,1,No
3097-IDVPU,No,Masculino,0,Si,Si,19,Si,Si,DSL,No,No,No,No,No,No,Mes a mes,No,Tarjeta de credito automatica,50.1,910.45,0,1.6700000000000002,3,No
3097-NNSPB,Si,Femenino,0,No,No,2,Si,No,DSL,No,Si,No,No,No,No,Mes a mes,Si,Tarjeta de credito automatica,49.05,91.1,1,1.635,3,No
3097-NQYSN,Si,Masculino,1,Si,No,2,Si,Si,Fibra optica,No,No,No,No,Si,No,Mes a mes,Si,Cheque enviado por correo,86.85,156.35,1,2.895,4,Si
3097-PYWXL,No,Femenino,0,Si,Si,4,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,Si,Cheque electronico,19.95,82.9,0,0.6649999999999999,1,No
3099-OONVS,No,Masculino,0,Si,Si,25,Si,No,DSL,Si,No,No,Si,No,No,Mes a mes,No,Cheque electronico,54.3,1296.8,0,1.8099999999999998,4,No
3104-OWCGK,Si,Masculino,0,Si,Si,60,Si,No,Fibra optica,No,Si,Si,No,Si,No,Un ano,No,Cheque electronico,90.95,5453.4,1,3.0316666666666667,5,No
3106-ULWFW,Si,Femenino,0,Si,No,8,Si,Si,Fibra optica,No,No,No,No,No,Si,Mes a mes,Si,Tarjeta de credito automatica,85.2,627.4,1,2.8400000000000003,4,No
3108-PCCGG,No,Masculino,1,Si,No,72,Si,Si,DSL,Si,Si,Si,No,Si,Si,Dos anos,No,Tarjeta de credito automatica,84.45,5899.85,0,2.815,8,Si
3113-IWHLC,No,Masculino,0,No,No,5,Si,No,DSL,Si,No,Si,No,No,No,Mes a mes,Si,Cheque enviado por correo,55.8,274.35,0,1.8599999999999999,4,No
3115-CZMZD,No,Masculino,0,No,Si,0,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Cheque enviado por correo,20.25,0.0,0,0.675,1,No
3115-JPJDD,No,Femenino,0,Si,No,59,Si,No,Fibra optica,Si,No,Si,No,No,No,Un ano,Si,Tarjeta de credito automatica,81.25,4639.45,0,2.7083333333333335,4,No
3118-UHVVQ,No,Femenino,0,Si,No,68,Si,Si,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Tarjeta de credito automatica,25.8,1911.5,0,0.86,2,No
3120-FAZKD,No,Masculino,0,Si,Si,54,Si,Si,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,Si,Transferencia bancaria automatica,24.05,1230.9,0,0.8016666666666666,2,No
3125-RAHBV,No,Masculino,0,No,No,22,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,No,Tarjeta de credito automatica,20.3,467.15,0,0.6766666666666666,1,No
3126-WQMGH,No,Femenino,0,Si,No,49,Si,Si,DSL,No,No,No,No,No,No,Mes a mes,Si,Tarjeta de credito automatica,52.15,2583.75,0,1.7383333333333333,3,No
3128-YOVTD,No,Femenino,0,Si,Si,51,Si,No,Fibra optica,Si,Si,No,No,No,No,Mes a mes,Si,Transferencia bancaria automatica,79.15,4018.55,0,2.6383333333333336,4,No
3129-AAQOU,No,Femenino,0,Si,Si,19,Si,Si,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Cheque enviado por correo,25.6,485.9,0,0.8533333333333334,2,No
3130-ICDUP,No,Femenino,0,No,Si,2,Si,Si,Fibra optica,Si,No,No,No,No,No,Mes a mes,No,Tarjeta de credito automatica,80.55,188.1,0,2.685,4,No
3131-NWVFJ,No,Femenino,0,Si,Si,14,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,No,Cheque enviado por correo,19.55,294.5,0,0.6516666666666667,1,No
3132-TVFDZ,Si,Masculino,1,Si,No,57,No,Sin servicio telefonico,DSL,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electronico,44.85,2572.95,1,1.495,3,Si
3133-PZNSR,No,Masculino,0,Si,Si,72,Si,Si,Fibra optica,Si,Si,No,Si,No,Si,Dos anos,Si,Tarjeta de credito automatica,97.75,6991.6,0,3.2583333333333333,7,No
3134-DSHVC,No,Femenino,0,No,No,63,Si,Si,Fibra optica,Si,Si,Si,No,Si,No,Dos anos,No,Tarjeta de credito automatica,98.0,6218.45,0,3.2666666666666666,7,No
3137-LUPIX,No,Femenino,0,No,No,4,Si,Si,DSL,No,No,No,Si,Si,No,Mes a mes,Si,Cheque enviado por correo,64.4,253.0,0,2.146666666666667,5,No
3137-NYQQI,No,Masculino,0,Si,No,17,Si,No,DSL,Si,Si,No,No,No,Si,Un ano,No,Cheque enviado por correo,64.8,1175.6,0,2.1599999999999997,5,No
3138-BKYAV,Si,Masculino,0,No,No,6,Si,No,Fibra optica,No,Si,No,No,Si,No,Mes a mes,Si,Cheque electronico,85.35,489.45,1,2.8449999999999998,4,No
3143-ILDAL,Si,Masculino,0,No,No,56,Si,Si,Fibra optica,No,Si,No,Si,No,Si,Mes a mes,Si,Cheque electronico,94.45,5124.6,1,3.1483333333333334,6,No
3143-JQEGI,Si,Femenino,0,Si,Si,13,Si,No,Fibra optica,No,No,No,No,Si,Si,Mes a mes,No,Cheque electronico,88.35,1222.8,1,2.945,4,No
3144-AUDBS,Si,Femenino,0,Si,No,6,Si,No,DSL,No,No,No,Si,No,No,Mes a mes,Si,Cheque electronico,49.15,270.8,1,1.6383333333333332,3,No
3144-KMTWZ,No,Masculino,0,Si,No,71,Si,Si,Fibra optica,No,Si,Si,No,No,Si,Mes a mes,Si,Transferencia bancaria automatica,93.25,6669.45,0,3.1083333333333334,6,No
3146-JTQHR,No,Masculino,0,Si,No,10,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,No,Transferencia bancaria automatica,19.6,189.45,0,0.6533333333333334,1,No
3146-MSEGF,No,Femenino,1,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos anos,Si,Tarjeta de credito automatica,88.05,6425.65,0,2.935,9,Si
3148-AOIQT,No,Femenino,0,Si,No,69,Si,Si,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,Si,Tarjeta de credito automatica,24.95,1718.35,0,0.8316666666666667,2,No
3148-BLQJT,Si,Masculino,0,No,No,1,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Cheque enviado por correo,20.1,20.1,1,0.67,1,No
3154-CFSZG,No,Masculino,0,Si,Si,47,Si,No,Fibra optica,Si,No,Si,No,No,Si,Mes a mes,No,Cheque electronico,90.05,4137.2,0,3.0016666666666665,5,No
3154-HMWUU,No,Masculino,0,Si,No,60,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,Si,Transferencia bancaria automatica,20.5,1198.8,0,0.6833333333333333,1,No
3156-QLHBO,No,Masculino,0,No,Si,2,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Cheque enviado por correo,19.25,48.35,0,0.6416666666666667,1,No
3158-MOERK,Si,Femenino,0,No,No,2,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electronico,96.0,174.8,1,3.2,5,No
3160-TYXLT,No,Masculino,0,No,No,53,No,Sin servicio telefonico,DSL,Si,Si,No,No,No,Si,Mes a mes,Si,Transferencia bancaria automatica,46.3,2546.85,0,1.5433333333333332,4,No
3161-GETRM,No,Masculino,0,Si,Si,34,Si,Si,Fibra optica,No,No,Si,No,No,Si,Mes a mes,Si,Tarjeta de credito automatica,90.05,3097.0,0,3.0016666666666665,5,No
3161-ONRWK,No,Masculino,0,Si,Si,60,Si,No,DSL,Si,Si,Si,Si,No,No,Un ano,Si,Transferencia bancaria automatica,65.85,3928.3,0,2.195,6,No
3162-KKZXO,No,Femenino,1,No,No,55,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Un ano,Si,Cheque electronico,100.15,5409.75,0,3.3383333333333334,6,Si
3162-ZJZFU,No,Masculino,0,Si,Si,53,Si,No,Fibra optica,No,Si,No,Si,Si,No,Mes a mes,Si,Cheque electronico,92.55,4779.45,0,3.085,5,No
3164-AALRN,Si,Masculino,0,No,No,5,Si,No,DSL,No,No,Si,No,Si,Si,Un ano,Si,Cheque enviado por correo,70.0,347.4,1,2.3333333333333335,5,No
3164-YAXFY,No,Masculino,0,No,No,57,No,Sin servicio telefonico,DSL,Si,No,Si,No,Si,Si,Mes a mes,Si,Cheque electronico,53.75,3196.0,0,1.7916666666666667,5,No
3165-HDOEW,Si,Masculino,0,Si,Si,1,Si,No,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque enviado por correo,45.85,45.85,1,1.5283333333333333,2,No
3166-PNEOF,No,Femenino,0,No,No,61,Si,Si,DSL,Si,No,Si,Si,Si,Si,Dos anos,No,Tarjeta de credito automatica,86.45,5175.3,0,2.881666666666667,8,No
3167-SNQPL,No,Masculino,1,Si,Si,38,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mes a mes,No,Cheque electronico,101.15,3741.85,0,3.371666666666667,6,Si
3170-GWYKC,No,Femenino,0,No,No,60,Si,No,Fibra optica,Si,No,Si,Si,Si,Si,Mes a mes,Si,Transferencia bancaria automatica,104.95,6236.75,0,3.4983333333333335,7,No
3170-NMYVV,No,Femenino,0,Si,Si,50,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Transferencia bancaria automatica,20.15,930.9,0,0.6716666666666666,1,No
3173-NVMPX,No,Femenino,0,Si,Si,9,Si,Si,DSL,No,Si,No,No,No,No,Mes a mes,Si,Cheque enviado por correo,55.3,501.2,0,1.8433333333333333,4,No
3173-WSSUE,No,Femenino,0,Si,Si,71,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Tarjeta de credito automatica,19.7,1415.85,0,0.6566666666666666,1,No
3174-AKMAS,No,Femenino,0,Si,No,46,Si,No,DSL,No,Si,No,Si,Si,No,Dos anos,Si,Tarjeta de credito automatica,64.2,3009.5,0,2.14,5,No
3174-RKMOW,No,Masculino,0,Si,Si,35,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Mes a mes,Si,Cheque electronico,109.95,3782.4,0,3.665,8,No
3177-LASXD,Si,Femenino,0,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mes a mes,No,Cheque electronico,71.35,71.35,1,2.378333333333333,2,No
3178-CIFOT,No,Femenino,0,No,No,23,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un ano,Si,Tarjeta de credito automatica,19.65,478.1,0,0.6549999999999999,1,No
3178-FESZO,Si,Femenino,0,No,No,1,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mes a mes,Si,Tarjeta de credito automatica,100.25,100.25,1,3.341666666666667,6,No
3179-GBRWV,No,Masculino,1,Si,No,21,Si,No,DSL,Si,Si,No,No,No,Si,Mes a mes,Si,Transferencia bancaria automatica,64.95,1339.8,0,2.165,5,Si
3181-MIZBN,No,Masculino,0,Si,Si,16,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Cheque electronico,19.75,313.4,0,0.6583333333333333,1,No
3181-VTHOE,No,Masculino,0,Si,No,70,No,Sin servicio telefonico,DSL,No,Si,Si,Si,No,Si,Un ano,Si,Transferencia bancaria automatica,51.05,3635.15,0,1.7016666666666667,5,No
3186-AJIEK,No,Masculino,0,No,No,66,Si,No,Fibra optica,Si,No,Si,Si,Si,Si,Dos anos,Si,Transferencia bancaria automatica,105.65,6844.5,0,3.521666666666667,7,No
3186-BAXNB,Si,Femenino,0,No,No,1,Si,No,Fibra optica,No,Si,No,Si,Si,No,Mes a mes,No,Cheque electronico,91.7,91.7,1,3.0566666666666666,5,No
3190-FZATL,No,Masculino,0,No,Si,14,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Cheque enviado por correo,19.95,268.4,0,0.6649999999999999,1,No
3190-ITQXP,No,Femenino,0,Si,Si,46,Si,No,Sin servicio,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos anos,No,Transferencia bancaria automatica,20.25,890.35,0,0.675,1,No
3190-XFANI,Si,Masculino,0,No,Si,49,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Un ano,Si,Transferencia bancaria automatica,100.6,5069.65,1,3.353333333333333,6,No
3191-CSNMG,No,Femenino,0,Si,Si,3,Si,No,Fibra optica,No,No,No,No,Si,No,Mes a mes,Si,Cheque electronico,80.7,239.45,0,2.69,3,No
3192-LNKRK,No,Masculino,0,Si,Si,34,Si,No,Fibra optica,No,No,Si,No,Si,No,Mes a mes,Si,Cheque enviado por correo,84.05,2909.95,0,2.8016666666666667,4,No
